4722922,River Legacy Park,River Legacy Park,,32.78902,-97.11445,L,PRK,US,,TX,439,,,0,144,147,America/Chicago,"2006-01-15
"
4812255,Lilly Number 11 School (historical),Lilly Number 11 School (historical),,38.36844,-81.12678,S,SCH,US,,WV,015,,,0,351,368,America/New_York,"2010-02-19
"
8496934,Okanogan Police Department,Okanogan Police Department,,48.36491,-119.58167,S,BLDG,US,,WA,047,,,0,261,263,America/Los_Angeles,"2013-03-09
"
7211238,Gresham Town Fair Shopping Center,Gresham Town Fair Shopping Center,,45.50156,-122.43393,S,MALL,US,,OR,051,,,0,95,97,America/Los_Angeles,"2010-02-06
"
4101803,Big Island,Big Island,,33.90427,-91.10011,T,PLN,US,,AR,041,,,0,46,52,America/Chicago,"2006-01-15
"
4879430,Township of Union,Township of Union,Union Township,41.46595,-92.58442,A,ADM3,US,,IA,123,94239,,0,231,228,America/Chicago,"2017-05-14
"
5850766,Manawai Gulch,Manawai Gulch,,20.94148,-156.27902,T,VAL,US,,HI,009,,,0,22,25,Pacific/Honolulu,"2013-03-07
"
8086977,Gallia County Sanitary Landfill,Gallia County Sanitary Landfill,"Gallia County Landfill,Gallia County Sanitary Landfill",38.98417,-82.23944,S,LNDF,US,,OH,053,52094,,0,255,244,America/New_York,"2017-05-23
"
4947540,Pleasant Street Firehouse,Pleasant Street Firehouse,,42.26398,-71.81452,S,BLDG,US,,MA,027,82000,,0,151,151,America/New_York,"2017-05-23
"
5708981,Star Peak,Star Peak,"Lindsays Peak,Quiednan Ove,Star Peak",40.52241,-118.17098,T,MT,US,,NV,027,,,0,2993,2984,America/Los_Angeles,"2006-01-17
"
5563278,Elk River School,Elk River School,,40.72985,-124.17145,S,SCH,US,,CA,023,,,0,46,51,America/Los_Angeles,"2010-09-05
"
5657245,Hidden Pasture Trail,Hidden Pasture Trail,,44.70242,-112.78335,R,TRL,US,,MT,001,,,0,2465,2479,America/Denver,"2006-01-15
"
4700056,Ingram Park Mall,Ingram Park Mall,,29.46884,-98.4364,S,MALL,US,,TX,029,,,0,210,216,America/Chicago,"2010-02-18
"
7240942,Alden B Dow Museum of Science,Alden B Dow Museum of Science,,43.62444,-84.25056,S,MUS,US,,MI,111,53780,,0,187,194,America/Detroit,"2017-05-23
"
